Date,Income/Expenses,Category,Memo,Amount
2026-09-23,Expenses,Others,,-350
2026-09-23,Expenses,Others,,-334
2026-09-21,Expenses,Bills,gkp electricity bill,-2110
2026-09-20,Expenses,Others,barbar,-60
2026-09-20,Expenses,Transportation,petrol,-350
2026-09-17,Expenses,Bills,electriccity bill pune,-310
2026-09-16,Expenses,Bills,axis cc bill,-2120.46
2026-09-14,Expenses,Car,hotel ,-1600
2026-09-14,Expenses,papa,,-10000
2026-09-14,Expenses,Food,,-2240
2026-09-13,Expenses,Food,,-1259
2026-09-10,Expenses,investment ,fd,-25000
2026-09-10,Expenses,investment ,,-25000
2026-09-10,Expenses,Bills,,-400
2026-09-10,Expenses,Bills,,-28074.81
2026-09-10,Expenses,Home,home emi,-17527
2026-09-09,Expenses,Home,pune home tax,-2222
2026-09-05,Expenses,investment ,,-4000
2026-09-05,Expenses,papa,mummy,-2280
2026-09-02,Expenses,Food,,-115
2026-09-02,Expenses,papa,,-15000
2026-09-01,Expenses,Bills,idfc cc bill,-5900
2026-09-01,Expenses,Bills,difference ,-11116
2026-09-01,Income,Others,last month but incorrect ,22982
2026-09-01,Income,Salary,,165998
2026-08-31,Expenses,Home,gate small room with ac in gkp,-4450
2026-08-18,Expenses,Home,gate paint,-2000
2026-08-18,Expenses,Home,gate last payment ,-18500
2026-08-15,Expenses,Food,,-300
2026-08-10,Expenses,Food,,-180
2026-08-10,Expenses,Home,balu gitti etc,-6130
2026-08-10,Expenses,Home,sariya ,-3200
2026-08-09,Expenses,Home,cash ,-40000
2026-08-09,Expenses,Bills,sbi cc bill,-27307
2026-08-05,Expenses,Food,,-90
2026-08-04,Expenses,Electronics,,-150
2026-08-04,Expenses,Food,,-290
2026-08-01,Expenses,Home,emi home loan,-17527
2026-08-01,Expenses,papa,fd for upcoming expenses ,-30000
2026-08-01,Expenses,papa,mummy,-3000
2026-08-01,Expenses,Gift,self to sbi for various expenses ,-15000
2026-08-01,Expenses,papa,,-15000
2026-08-01,Income,Others,last month carry,40108
2026-08-01,Income,Salary,,165998
2026-07-28,Expenses,Food,,-142
2026-07-28,Expenses,Food,,-300
2026-07-27,Expenses,Home,2nd installment main gate,-15000
2026-07-23,Expenses,Bills,idfc cc bill,-5300
2026-07-22,Expenses,Bills,gkp electricity bill ,-1814
2026-07-19,Expenses,Food,,-850
2026-07-19,Expenses,Car,,-276
2026-07-16,Expenses,Home,electric bill ,-580
2026-07-16,Expenses,papa,bathroom linter contribution ,-10000
2026-07-16,Expenses,Bills,sbi extra payment ,-10000
2026-07-16,Expenses,investment ,mf aditya birla,-50000
2026-07-16,Expenses,Home,gate advance ,-10000
2026-07-11,Expenses,Entertainment,hotel ,-1700
2026-07-11,Expenses,Home,extra emi,-1800
2026-07-10,Expenses,Home,c2101 home emi,-17527
2026-07-10,Expenses,Bills,"sbi cc bill, 32 k neha 30k petrol, 10 k misc food in pune etx",-70000
2026-07-07,Expenses,Food,,-838
2026-07-06,Expenses,Transportation,car puncture ,-300
2026-07-06,Expenses,investment ,,-2500
2026-07-03,Expenses,Entertainment,,-2917
2026-07-03,Expenses,investment ,,-1500
2026-07-03,Expenses,Food,,-180
2026-07-02,Expenses,papa,mummy,-2000
2026-07-02,Income,Salary,,274678
2026-07-02,Expenses,papa,,-15000
2026-07-01,Expenses,Bills,idfc cc bill,-14300
2026-06-19,Expenses,Car,hotel ,-1670
2026-06-18,Expenses,Home,mummy,-2000
2026-06-18,Expenses,Insurance,,-1279
2026-06-18,Expenses,Bills,jio bill,-2125
2026-06-18,Expenses,Education,claude,-1999
2026-06-15,Expenses,investment ,,-50000
2026-06-12,Expenses,Food,mezbaad mau kutta dhaba ,-535
2026-06-12,Expenses,Transportation,car service plus repair ,-14000
2026-06-10,Expenses,Home,,-25000
2026-06-10,Expenses,Home,,-17257
2026-06-04,Expenses,investment ,,-3500
2026-06-02,Expenses,Pet,daiper etc,-768
2026-06-01,Expenses,Clothing,,-748
